min,max,mean,year,adm3_pcode
1.6206623315811157,1.6206623315811157,1.6206623315811157,2020-01-16T00:00:00.000000000,ET040316
,,,2020-01-16T00:00:00.000000000,ET040317
,,,2020-01-16T00:00:00.000000000,ET040319
,,,2020-01-16T00:00:00.000000000,ET040320
,,,2020-01-16T00:00:00.000000000,ET040324
,,,2020-01-16T00:00:00.000000000,ET040401
,,,2020-01-16T00:00:00.000000000,ET040402
,,,2020-01-16T00:00:00.000000000,ET040403
,,,2020-01-16T00:00:00.000000000,ET040404
,,,2020-01-16T00:00:00.000000000,ET040405
1.8251537084579468,1.8251537084579468,1.8251537084579468,2020-01-16T00:00:00.000000000,ET040406
,,,2020-01-16T00:00:00.000000000,ET040407
1.7578352689743042,1.7578352689743042,1.7578352689743042,2020-01-16T00:00:00.000000000,ET040408
,,,2020-01-16T00:00:00.000000000,ET040409
,,,2020-01-16T00:00:00.000000000,ET040410
1.8528268337249756,1.8528268337249756,1.8528268337249756,2020-01-16T00:00:00.000000000,ET040411
,,,2020-01-16T00:00:00.000000000,ET040412
1.5259987115859985,1.5259987115859985,1.5259987115859985,2020-01-16T00:00:00.000000000,ET040413
,,,2020-01-16T00:00:00.000000000,ET040414
1.640723705291748,1.640723705291748,1.640723705291748,2020-01-16T00:00:00.000000000,ET040415
,,,2020-01-16T00:00:00.000000000,ET040416
,,,2020-01-16T00:00:00.000000000,ET040417
,,,2020-01-16T00:00:00.000000000,ET040418
,,,2020-01-16T00:00:00.000000000,ET040490
,,,2020-01-16T00:00:00.000000000,ET040491
,,,2020-01-16T00:00:00.000000000,ET040495
,,,2020-01-16T00:00:00.000000000,ET040499
,,,2020-01-16T00:00:00.000000000,ET040500
1.0917606353759766,1.0917606353759766,1.0917606353759766,2020-01-16T00:00:00.000000000,ET040501
,,,2020-01-16T00:00:00.000000000,ET040502
1.2054463624954224,1.2054463624954224,1.2054463624954224,2020-01-16T00:00:00.000000000,ET040503
,,,2020-01-16T00:00:00.000000000,ET040504
,,,2020-01-16T00:00:00.000000000,ET040505
,,,2020-01-16T00:00:00.000000000,ET040506
1.3807775974273682,1.3807775974273682,1.3807775974273682,2020-01-16T00:00:00.000000000,ET040507
,,,2020-01-16T00:00:00.000000000,ET040508
1.5241681337356567,1.5241681337356567,1.5241681337356567,2020-01-16T00:00:00.000000000,ET040509
,,,2020-01-16T00:00:00.000000000,ET040510
,,,2020-01-16T00:00:00.000000000,ET040511
,,,2020-01-16T00:00:00.000000000,ET040513
1.4046882390975952,1.4046882390975952,1.4046882390975952,2020-01-16T00:00:00.000000000,ET040514
,,,2020-01-16T00:00:00.000000000,ET040515
,,,2020-01-16T00:00:00.000000000,ET040516
,,,2020-01-16T00:00:00.000000000,ET040517
,,,2020-01-16T00:00:00.000000000,ET040518
